리뷰,rep,index,Processing,평가
5호선 여의나루 역으로 나오시면 가깝습니다.,0,113,"['호선', '여의나루', '역', '나오다', '가깝다']",부정
여름에는 물빛 광장에 물이 항상 흐르고 있어서 좋아요.,1,113,"['여름', '에는', '물빛', '광장', '물이', '항상', '흐르다', '좋다']",긍정
여름에 5시쯤 되면 푸드 트럭이 많이 옵니다.,2,113,"['여름', '5시', '쯤', '되다', '푸드', '트럭', '많이', '옵니다']",긍정
마포 대교 아래에 앉을 곳이 많아요.,3,113,"['마포', '대교', '아래', '앉다', '곳', '많다']",긍정
강을 바라보는 곳도 계단으로 되어 있어서 앉아서 쉬기 좋습니다.,4,113,"['강', '바라보다', '곳도', '계단', '되어다', '앉다', '쉬다', '좋다']",긍정
쓰레기를 제대로 쓰레기통에 버리시면 좋을 것 같아요.,5,113,"['쓰레기', '제대로', '쓰레기통', '버리다', '좋다']",부정
수상 스포츠를 즐기시는 분들이 꽤 많이 있습니다.,6,113,"['수상', '스포츠', '즐기다', '분', '꽤', '많이']",긍정
요트같이 조용한 것은 상관 없지만 제트스키 같은 것은 사람들이 쉬는데 근처에서 놀지 않으면 좋겠어요.,7,113,"['요트', '조용하다', '은', '상관', '없다', '제트', '스키', '은', '사람', '쉬다', '근처', '놀다', '않다', '좋다']",긍정
다리에 물을 뿌리거나 서로 물을 뿌리면서 장난치고 노시는데 사람들 앉아있는 쪽으로 안하려고 하는 것 같기는 하지만 그래도 물방울 튑니다.,8,113,"['다리', '물', '뿌리다', '서로', '물', '뿌리다', '장난', '치고', '놓다', '사람', '앉다', '쪽', '안', '하다', '하다', '물방울', '튀다']",부정
그리고 너무 시끄러워요.,9,113,"['너무', '시끄럽다']",부정
사람들이 안 앉아서 쉬는 반대쪽으로 가서 놀면 좋겠어요.,10,113,"['사람', '안', '앉다', '쉬다', '반대쪽', '가다', '놀다', '좋다']",긍정
예전보다 한강에서 수상 스포츠 즐기는 사람들이 많은데 카약이나 요트 같은 스포츠는 상관 없지만 제트 스키 같은 것은 규제를 해주면 좋겠습니다.,11,113,"['예전', '보다', '한강', '수상', '스포츠', '즐기다', '사람', '많다', '카약', '이나', '요트', '스포츠', '는', '상관', '없다', '제트', '스키', '은', '규제', '해주다', '좋다']",긍정
"주말에 다녀왔는데 닭꼬치, 타코야키, 탕후루 등 장 서있는 것도 많고 역 바로 앞이라 편하고 어딜 가도 한강 라면 살 수 있는 게 너무 좋아요.",0,114,"['주말', '다녀오다', '닭꼬치', '타코야키', '탕후루', '장', '서다', '도', '많다', '역', '앞', '이라', '편하다', '어딜', '가도', '한강', '라면', '살', '수', '게', '너무', '좋다']",긍정
근데 여의도는 다른 공원보다 유난히 쌀쌀한 거 같아요.,1,114,"['근데', '여의도', '는', '공원', '보다', '유난히', '쌀쌀하다', '거']",긍정
"쓰레기장, 화장실도 어디든 있어서 편합니다.",2,114,"['쓰레기', '장', '화장실', '도', '든', '편하다']",긍정
책읽는 한강공원 너무 괜찮네요.,0,115,"['책', '읽다', '한강', '공원', '너무', '괜찮다']",긍정
강남 놀러갔다가 오는 길에 9시쯤 한번 들려봤다.,0,116,"['강남', '놀다', '가다', '오다', '길', '9시', '쯤', '한번', '들다', '보다']",긍정
(여의나루역에서 나오면 바로 앞에 있어서 좋다.),1,116,"['여의나루역', '나오다', '앞', '좋다', '.)']",긍정
뒤에는 파크원과 IFC가 보이고 오른쪽엔 원효대교와 63빌딩이 보이고 왼쪽엔 마포대교가 가까히 위치해 있다.,2,116,"['뒤', '에는', '파크원', 'IFC', '가다', '보이', '고', '오른쪽', '엔', '원효대교', '63', '빌딩', '보이', '고', '왼쪽', '엔', '마포대교', '가깝다', '위치', '하다']",부정
밤에는 근데 63빌딩이나 파크원 빌딩이 잘 안보여서 낮에 가는게 더 좋다고 생각한다.,3,116,"['밤', '에는', '근데', '63', '빌딩', '이나', '파크원', '빌딩', '자다', '안보', '여서', '낮', '가다', '더', '좋다', '생각', '하다']",긍정
(반대편엔 남산타워도 희미하게 보인다...),4,116,"['반대편', '엔', '남산타워', '도', '희미하다', '보이다', '...)']",부정
매일 걷는 곳입니다.,0,117,"['매일', '걷다', '곳', '이다']",긍정
사계절 서울시민들이 이용하는 휴식공간입니다.,1,117,"['사계절', '서', '울', '시민', '이용', '하다', '휴식', '공간', '이다']",긍정
한강을 끼고있어 경관이 좋아 남녀노소가 즐기는 명소입니다.,2,117,"['한강', '끼다', '경관', '좋다', '남녀', '노소', '즐기다', '명소', '이다']",긍정
"날씨 좋은 날, 바람 좋은 날, 기분 좋은 날, 친구와 이야기하고 싶은 날, 야외에서 데이트 하고 싶은 날 등등 Feel 오면 무조건 가기 좋은 우리의 좋은 친구 한강 ㅋㅋ 말이 필요 없지요.",0,118,"['날씨', '좋다', '날', '바람', '좋다', '날', '기분', '좋다', '날', '친구', '이야기', '하고', '싶다', '날', '야외', '데이트', '하다', '싶다', '날', 'Feel', '오다', '무조건', '가기', '좋다', '좋다', '친구', '한강', 'ㅋㅋ', '말', '필요', '없다']",긍정
"배달음식을 먹든, to-go 해서 먹든, 편의점에서 라면을 끓여 먹든 뭐든 다 꿀맛으로 느껴집니다.",1,118,"['배달', '음식', '먹다', 'to', 'go', '하다', '먹다', '편의점', '라면', '끓이다', '먹다', '뭐', '든', '다', '꿀맛', '느껴지다']",긍정
멋진 한강 풍경과 시원한 자전거 데이트 서울 여의도 한강 시민 공원 휴식과 데이트 하기 좋은 곳 입니다.,0,119,"['멋지다', '한강', '풍경', '시원하다', '자전거', '데이트', '서울', '여의도', '한강', '시민', '공원', '휴식', '데이트', '하다', '좋다', '곳', '이다']",긍정
강을 바라보며 여러 음식을 먹을수 있으며 주말밤에는 길거리 음식 푸드 트럭 등 다양한 이벤트가 있습니다.,1,119,"['강', '바라보다', '여러', '음식', '먹다', '주말', '밤', '에는', '길거리', '음식', '푸드', '트럭', '다양하다', '이벤트']",긍정
사진도 찍기 좋고 정말로 휴식하며 힐링을 할 수 있는 곳입니다.,2,119,"['사진', '도', '찍기', '좋다', '정말로', '휴식', '하다', '힐링', '하다', '수', '곳', '이다']",긍정
집에서 1시간20분 걸리는 거리라,0,120,"['집', '1시간', '20분', '걸리다', '거리', '라']",부정
일때문이 아니면 갈일이 없네요.,1,120,"['때문', '아니다', '갈다', '일이', '없다']",부정
젊은시절 추억이 있고 더 좋아진 ..젊은이들 가족들로 여유있어 보이는 한강공원 다양한 편의시설과 조형물들,2,120,"['젊다', '시절', '추억', '더', '좋아지다', '..', '젊은이', '가족', '여유', '보이다', '한강', '공원', '다양하다', '편의', '시설', '조형', '물들다']",긍정
서울 스프링 워크 참여차 방문 주차장도 잘되어있고 역에서 접근성도매우좋음,0,121,"['서울', '스프링', '워', '크다', '참여', '차', '방문', '주차장', '도', '잘', '되어다', '역', '접근성', '도', '매우', '좋다']",긍정
"겨울이라 다소 춥기도 하지만 기온이 평소보다 살짝 높은 날이라, 밤이 되고 강가 아닌 산책로 따라 걷다보니 포근 했었어요.",0,122,"['겨울', '이라', '추다', '기도', '기온', '평소', '보다', '살짝', '높다', '날', '이라', '밤', '되다', '강가', '아니다', '산책로', '따르다', '걷다', '보다', '포', '근', '하다']",긍정
야경도 멋지고 좋았답니다.,1,122,"['야경', '도', '멋지다', '좋다']",긍정
피크닉 대여해주는곳이 지하철역 앞이라 텐트 돗자리 이런거 대여하기 편해요.,0,123,"['피크닉', '대여', '해주다', '곳', '지하철역', '앞', '이라', '텐트', '돗자리', '이렇다', '대여', '하다', '편하다']",긍정
"화장실, 편의점도 공원 곳곳에 있어서 피크닉하기 딱이구요.",1,123,"['화장실', '편의점', '도', '공원', '곳곳', '피크닉', '하다', '딱이다']",긍정
음식은 배달하거나 더현대서울 푸드코트에서 포장해와서 먹으면 딱이에요.,2,123,"['음식', '은', '배달', '거나', '더', '현대', '서울', '푸드코트', '포장', '해오다', '먹다', '딱이다']",긍정
넓은 잔디밭에서 그늘막텐트와 야외용 의자와 배달 존에서 배달음식을 시켜먹을 수 있는 멋진 야외공원입니다.,0,124,"['넓다', '잔디밭', '그늘', '막', '텐트', '야외', '용', '의자', '배달', '존', '배달', '음식', '먹다', '수', '멋지다', '야외', '공원', '이다']",긍정
야간 도깨비 먹거리 시장과 이벤트 가즉한 한강공원은 우리한국 특유의 문화가 있늣 멋진 곳입니다,1,124,"['야간', '도깨비', '먹거리', '시장', '이벤트', '가다', '한', '한강', '공원', '은', '한국', '특유', '문화', '있늣', '멋지다', '곳', '이다']",긍정
날씨좋은 날은 역시 사람이 많죠,0,125,"['날씨', '좋다', '날', '은', '역시', '사람', '많다']",긍정
그래도 좋은 추억 안고 갑니다.,1,125,"['좋다', '추억', '안고', '가다']",긍정
편의점에 줄서야한다는게 가장 큰 흠 음료는 밖에서 사가세요,2,125,"['편의점', '줄', '서', '야하다', '가장', '크다', '흠', '음료', '는', '밖', '사가다']",긍정
가끔씩 여의도한강공원에서는 행사가 열린다.,0,126,"['가끔', '씩', '여의도', '한강', '공원', '에서는', '행사', '열', '린다']",부정
매년마다 한화에서 행사를 하는데 잔디밭에서 영화도 보고 더위를 잊을 수 있었다.,1,126,"['매년', '마다', '한화', '행사', '하다', '잔디밭', '영화', '도', '보고', '더위', '잊다', '수']",긍정
돗자리는 빌릴 수 있었고 시원한 강바람을 맞으며 즐거운 주말을 보낼 수 있었다.,2,126,"['돗자리', '는', '빌리다', '수', '시원하다', '강바람', '맞다', '즐겁다', '주말', '보내다', '수']",긍정
주차는 한강공원 주차장을 이용하면 되고 근처 화장실도 깔끔하게 관리되고 있고 편의점이 있어서 간식거리도 살 수 있었다.,3,126,"['주차', '는', '한강', '공원', '주차장', '이용', '하다', '되다', '근처', '화장실', '도', '깔끔하다', '관리', '되다', '편의점', '간식', '거리', '도', '살', '수']",긍정
"이번년도가 서울에 사는 마지막 해가 될것같은데 여의도 한강공원에 저번주 토요일에도 와서 친구들과 좋은시간 보내고, 이번 토요일에도 친구들과 와서 서울시향 야외공연도 봤어요.",0,127,"['년도', '서울', '살다', '마지막', '해', '되다', '여의도', '한강', '공원', '저번', '주', '토요일', '에도', '오다', '친구', '좋다', '보내다', '토요일', '에도', '친구', '오다', '서울시', '향', '야외', '공연', '도', '보다']",긍정
좋은추억으로 기억될것같습니다 !,1,127,"['좋다', '추억', '기억', '되다']",긍정
서울시향 앵콜곡 하면서 불꽃도 터져서 🎆  친구들이 참 좋아했어요 ㅎㅎ…,2,127,"['서울시', '향', '앵콜', '곡', '하다', '불꽃', '도', '터지다', '🎆', '친구', '차다', '좋아하다', 'ㅎㅎ']",긍정
아직은 벚꽃이 피지 않고 찬바람 만 불고 그래도 주말이 아닌데도 시민들이 많이 거닐고 있었습니다,0,128,"['아직', '은', '벚꽃', '피지', '않다', '찬', '바람', '만', '불', '고', '주말', '아니다', '시민', '많이', '거닐다']",긍정
"라이딩도 할수 있고 돗자리, 텐트도 칠수 있고 근처 편의점, 노상에서 간식도 먹을수 있어요~^^",0,129,"['라이딩', '도', '하다', '돗자리', '텐트', '도', '치다', '근처', '편의점', '노상', '간식', '도', '먹다', '~^^']",긍정
텐트 대여는 서울 *파트 좀더 내려가서 아랫 상가 안쪽에 위치한 ♧피크닉 109♧ 물품 깨끗해서 추천해요.,1,129,"['텐트', '대여', '는', '서울', '파트', '좀더', '내려가다', '아랫', '상가', '안쪽', '위치', '한', '♧', '피크닉', '109', '♧', '물품', '깨끗하다', '추천', '하다']",부정
불꽃축제 보러 방문했어요,0,130,"['불꽃', '축제', '보다', '방문', '하다']",긍정
사람이 아주 많았지만 역 바로 앞이라 접근성이 좋았고 간이화장실도 많이 설치되어있어서 편리했어요!,1,130,"['사람', '아주', '많다', '역', '앞', '이라', '접근성', '좋다', '간이', '화장실', '도', '많이', '설치', '되어다', '편리하다']",긍정
겨울로 들어가는 길목 내년 봄이 되면 화사하겠지,0,131,"['겨울', '들어가다', '길목', '내년', '봄', '되다', '화사하다']",긍정
여유롭고 좋습니다.,0,132,"['여유', '롭고', '좋다']",긍정
답답했던 속이 탁 불리는 기분이라 가끔 갑니다.,1,132,"['답답하다', '속이다', '탁', '불리다', '기분', '이라', '가끔', '가다']",부정
"금,토 에는 야시장을 열기 때문에 더 좋아요.",2,132,"['금', '토', '에는', '야시장', '열기', '때문', '더', '좋다']",긍정
특히 요즘 대학교 방학이라 그런가 사람들이 많지 않아서 적당히 기다리고 먹고 즐기기 좋았습니다.,3,132,"['특히', '요즘', '대학교', '방학', '이라', '런가', '사람', '많다', '않다', '적당하다', '기다리다', '먹다', '즐기다', '좋다']",긍정
다만 지하철 입구부터 전단지 알바나 호객들이 많은게...,4,132,"['지하철', '입구', '전단지', '알바', '호객', '많다']",부정
시설들이 전반적으로 잘되어 있어 좋았습니다.,5,132,"['시설', '전반', '적', '잘', '되어다', '좋다']",긍정
화창한 봄날에 한강이 넘 맑고 푸르고 돗자리 깔고 봄을 만끽하며 도란도란 아름다운곳 이더라고요,0,133,"['화창하다', '봄날', '한강', '넘다', '맑다', '푸르다', '돗자리', '깔다', '봄', '만끽', '하다', '도란도란', '아름답다', '곳', '이다']",긍정
한국의 센트럴파크?,0,134,"['한국', '센트럴', '파크']",긍정
러브미 마라톤 대회 참석차 방문.,1,134,"['러브', '밉다', '마라톤', '대회', '참석', '차', '방문']",긍정
"따사로운 햇살, 시원한 바람, 여유로이 거니는 행락객들...지극히 평화로운 가을 풍경이었음.",2,134,"['따다', '로운', '햇살', '시원하다', '바람', '여유', '로이', '거니', '는', '행락', '객', '지극히', '평화롭다', '가을', '풍경', '이다']",긍정
"청소년, 애인, 가족 등등 다양한 계층의 사람들이 가을 햇살을 만끽하고 있었음.",3,134,"['청소년', '애인', '가족', '다양하다', '계층', '사람', '가을', '햇살', '만끽', '하고']",긍정
"텐트를 치고 쉬는 사람, 자전거나 롤러 스케이트를 타는 사람 등등 삶의 여유를 즐길 수 있는 장소인 듯함.",4,134,"['텐트', '치고', '쉬다', '사람', '자전거', '롤러', '스케이트', '사람', '삶', '여유', '즐기다', '수', '장소', '인', '듯함']",긍정
"주변에 편의점이나 카페가 있고, 배달음식 주문도 가능해 편의성은 최고임.",5,134,"['주변', '편의점', '이나', '카페', '배달', '음식', '주문', '도', '가능하다', '편의', '성은', '최고', '임']",긍정
"거기에다 여의나루역 근처에 텐트, 휴대의자, 돗자리 등을 일괄 대여해주는 대여점이 있어 가볍게 몸만 와서 이 모든 것을 만끽할 수 있음.",6,134,"['거기', '에다', '여의나루역', '근처', '텐트', '휴대', '의자', '돗자리', '일괄', '대여', '해주다', '대', '점', '가볍다', '몸', '만', '오다', '모든', '만끽', '하다', '수']",긍정
날씨도 선선하고 비록 라면 끓인건 불어서 맛없었지만 분위기에 먹엇당..,0,135,"['날씨', '도', '선선', '하고', '라면', '끓이다', '불어', '서', '맛없다', '분위기', '먹엇당', '..']",부정
버스킹하는거 구경하고 한강 물살이 정말 예뻤음,1,135,"['버스킹', '하다', '구경', '하고', '한강', '물살', '정말', '예쁘다']",긍정
아시아 국가 베트남.카자흐스탄 체험부스가 열린기간에 방문했어요.,0,136,"['아시아', '국가', '베트남', '카자흐스탄', '체험', '부스', '열리다', '기간', '방문', '하다']",긍정
안내부스에서 안내지 받아서 스템프 투어 참여하니 마그네틱증정 QR찍고 설문조사하니 담요 증정있었어요,1,136,"['안내', '부스', '안내', '지', '받다', '스템', '프', '투어', '참여', '하다', '마', '그네', '틱', '증정', 'QR', '찍다', '설문조사', '하다', '담요', '증정']",부정
"여의나루역 2번출구 올라가자마자 자리잡은 화려한 노점상들.돗자리 대여점들은 좀 난잡했지만,이미 여의도의 일부가 되어버렸지만요..",2,136,"['여의나루역', '번', '출구', '올라가다', '자리', '잡다', '화려하다', '노점상', '돗자리', '대', '점', '은', '난잡하다', '이미', '여의도', '일부', '되어다', '버리다', '요', '..']",부정
전단지는 바닥에 뒹굴고.,3,136,"['전단', '지는', '바닥', '뒹굴', '고']",긍정
지저분했어요.,4,136,['지저분하다'],부정
"베트남,카자흐스탄 역사와 전통의상체험.무료 케리커쳐 .",5,136,"['베트남', '카자흐스탄', '역사', '전통의상', '체험', '무료', '케리', '크다', '치다']",긍정
음식시식등..다양한 행사가 좋았어요.,6,136,"['음식', '시식', '..', '다양하다', '행사', '좋다']",긍정
베트남 모자 농 꾸미기를 아이들이 좋아했습니다.,7,136,"['베트남', '모자', '농', '꾸미다', '기르다', '좋아하다']",긍정
화장실지저분한 화장실반려견 동반 환경목줄한 강아지들 각자기 짖으면 놀란가슴,8,136,"['화장실', '지저분하다', '화장실', '반려견', '동반', '환경', '목줄', '한', '강아지', '짖다', '놀란', '가슴']",긍정
돗자리 대여(돗자리 물티슈 작은상)가 잘 되어있고 편의점이 너무 붐비지않음.,0,137,"['돗자리', '대여', '돗자리', '물티슈', '작', '은상', '가다', '자다', '되어다', '편의점', '너무', '붐비다', '않다']",긍정
푸드트럭이 꽤 있으나 종류는 비슷비슷함 공중화장실이 있는데 생각보다 깨끗하게 관리되어있고 휴지도 있음,1,137,"['푸드', '트럭', '꽤', '종류', '는', '비슷', '공중화장실', '생각', '보다', '깨끗하다', '관리', '되어다', '휴지', '도']",긍정
"사람이 매우 많고, 데이트 및 취미를 즐기기 좋다.",0,138,"['사람', '매우', '많다', '데이트', '취미', '즐기다', '좋다']",긍정
하지만 코로나 때문에 사회적 거리두기를 하고 있는 요즘 가서 일  터지는 것 보다 집에서 쉬는게 나을 수도 있다.,1,138,"['코로나', '때문', '사회', '적', '거리', '두기', '하다', '요즘', '가다', '터지다', '보다', '집', '쉬다', '나다', '수도']",긍정
돗자리 호객행위와 전단지 강제 받음이 심하다.,0,139,"['돗자리', '호객', '행위', '전단지', '강제', '받다', '심하다']",부정
비둘기가 사람 주변을 돌아다닌다.,1,139,"['비둘기', '사람', '주변', '돌아다니다']",부정
갈매기도 비둘기처럼 많다.,2,139,"['갈매기', '도', '비둘기', '처럼', '많다']",긍정
갈매기가 조형물처럼 기둥 위에  앉아있다.,3,139,"['갈매기', '조형', '물', '처럼', '기둥', '위', '앉다']",부정
귀엽다.,4,139,['귀엽다'],긍정
커플들 많다.,5,139,"['커플', '많다']",긍정
돗자리는 옵션에 따라 2000~5000. 텐트 10000원선이다.,6,139,"['돗자리', '는', '옵션', '따르다', '2000~5000', '텐트', '10000원', '선이다']",부정
다양한 모습을 품고 있어서 갈 때마다 만족합니다.,0,140,"['다양하다', '모습', '품다', '갈다', '마다', '만족하다']",긍정
깨끗하게 관리되고 있는 장소입니다.,1,140,"['깨끗하다', '관리', '되다', '장소', '이다']",긍정
처음에 갔을땐 타코야끼랑 목살트럭보고 이게 밤도깨비 다냐고 실망할뻔했는데 쭈욱 걸어보니까 밤도깨비야시장 간판과함께 푸드트럭이 엄청나오더라구요.,0,141,"['처음', '가다', '땐', '타코야끼', '랑', '목살', '트럭', '보고', '게', '밤', '도깨비', '달다', '실망하다', '뻔하다', '쭈욱', '걸', '어보', '니까', '밤', '도깨비', '야시장', '간판', '푸드', '트럭', '엄청나다']",부정
아근데 입구에있던 매운타코야끼는  진짜 너무 맛있고 매워서 잊혀지지 않음 ㅠㅠ,1,141,"['근데', '입구', '맵다', '타코야끼', '는', '진짜', '너무', '맛있다', '맵다', '잊혀지다', '않다', 'ㅠㅠ']",긍정
닭꼬치도 맛나구 ㅠㅠ 푸드트럭 종류가 많아서 고민 너무 많이되었는데 소고기초밥이랑 대창덮밥먹었는데 넘나 맛났어요!,2,141,"['닭꼬치', '도', '맛', '나다', 'ㅠㅠ', '푸드', '트럭', '종류', '많다', '고민', '너무', '많이', '되어다', '소고기', '초밥', '이랑', '대창', '덮다', '밥', '먹다', '넘다', '맛', '나다']",긍정
대창덮밥은 고소달달감칠맛나구 소고기초밥은 와사비도 적당하고 맛났어요!,3,141,"['대창', '덮다', '밥', '은', '고', '소', '달달', '감칠맛', '나다', '소고기', '초밥', '은', '와사비', '도', '적당하다', '맛', '나다']",긍정
좀 빨리식는게 단점이지만 ㅠㅠ,4,141,"['빨리', '식다', '단점', 'ㅠㅠ']",긍정
불꽃축제보고왔어요,0,142,"['불꽃', '축제', '보고오다']",부정
나무때문에 시야가 가려 별하나뺍니다 원효대교에서 보는게 짱일듯 근데 원효대교 일반인 못가게 했는데 관계자들 일은 안하시구 불꽃구경하시네요,1,142,"['나무', '때문', '시야', '가다', '별하나', '빼다', '원효대교', '보다', '짱', '이다', '근데', '원효대교', '일반인', '못', '가다', '하다', '관계자', '은', '안', '하다', '불꽃', '구경', '하다']",긍정
일반인들도 원효대교에서 볼수있게 해주세요,2,142,"['일반인', '도', '원효대교', '보다', '해주다']",부정
아무 준비도 안하고 있다가 근처에 가서 어 한강가서 놀까?,0,143,"['아무', '준비', '도', '안', '하고', '근처', '가다', '한', '강가', '서', '놀다']",부정
했을 때 모든 걸 대여할 수 있는 곳.,1,143,"['하다', '모든', '걸', '대여', '하다', '수', '곳']",긍정
그만큼 사람도 많아요,2,143,"['그만큼', '사람', '도', '많다']",부정
장애인 복지관 에서 63빌딩 아쿠아리움 구경 하고 여의도 한강공원 구경을 갔어요,0,144,"['장애인', '복지관', '63', '빌딩', '아쿠아리움', '구경', '하다', '여의도', '한강', '공원', '구경', '가다']",긍정
추워서 그런지 사람 이 없고 깨끗하고 한강물이 흐르는 것을 보니까 기분이 상쾌하고 좋았어요,1,144,"['춥다', '그렇다', '사람', '없다', '깨끗하다', '한', '강물', '흐르다', '보', '니까', '기분', '상쾌하다', '좋다']",긍정
반려견 동반 환경제 생각에는 이렇게 깨끗하고 보기좋은 한강 유원지에 반려동물을 좋아 하지만 여러사람 이 이용하는 장소에서는 개 유모차 에 태워서 대리고 나온다면 사람들에게 불편을 주지않아 좋을듯 합니다,2,144,"['반려견', '동반', '환', '경제', '생각', '에는', '이렇게', '깨끗하다', '보기', '좋다', '한강', '유원지', '반려동물', '좋다', '여러', '사람', '이용', '하다', '장소', '에서는', '개', '유모차', '태우다', '대리', '고', '나오다', '사람', '불편', '주지', '않다', '좋다', '하다']",긍정
감사합니다,3,144,['감사하다'],부정
좋은곳 코로나가 빨리끝나,0,145,"['좋다', '곳', '코로나', '빨리', '끝나다']",긍정
마스크없이 즐길수있는 날이오길 단점 주차가... 안됨,1,145,"['마스크', '없이', '즐기다', '날다', '단점', '주차', '안되다']",긍정
근처 더현대에 주차가 가능하지만 멀고 10분에 2천원이라는...,2,145,"['근처', '더', '현대', '주차', '가능하다', '멀다', '10분', '2천원', '이라는']",부정
5만원 구매해야 1시간무료 10만원 2시간 이런식임..,3,145,"['5만원', '구매', '하다', '1시간', '무료', '10만원', '2시간', '식임', '..']",부정
바람이 날리는 날씨였지만 날씨가 좋았네요.,0,146,"['바람', '날리다', '날씨', '이다', '날씨', '좋다']",긍정
여의나루역쪽에서 한강에서 나가면 있는 구역이 돗자리 펴기 가장 좋습니다.,1,146,"['여의나루역', '쪽', '한강', '나가다', '구역', '돗자리', '펴다', '가장', '좋다']",긍정
주말에 방문했는데 사람이 사람이..ㅎㄷㄷ 야시장음식도 사람이 많아서 20분이상씩 기다려야 살수있어요,0,147,"['주말', '방문', '하다', '사람', '사람', '..', 'ㅎㄷㄷ', '야시장', '음식', '도', '사람', '많다', '20분', '이상씩', '기다리다', '살다']",부정
사람에 치이는것만 빼면 시원한 강바람 맞으면서 치맥한잔에 버스킹듣고 여유롭게 쉬다와서 딱좋았습니다,1,147,"['사람', '치이다', '빼다', '시원하다', '강바람', '맞다', '치맥', '한잔', '버스킹', '듣다', '여유롭다', '쉬', '다', '오다', '딱좋다']",긍정
"날씨 좋을 때 산책, 나들이 하기 정말 좋은 곳입니다.",0,148,"['날씨', '좋다', '산책', '나들이', '하다', '정말', '좋다', '곳', '이다']",긍정
"공원 근처에 텐트 ⛺️ 설치 가능한 지역이 몇군데 있는데, 근처에서 텐트를 대여도 가능합니다 ^^",1,148,"['공원', '근처', '텐트', '⛺️', '설치', '가능하다', '지역', '군데', '근처', '텐트', '대여', '도', '가능하다', '^^']",긍정
"여름에 토, 일요일에는 6시부터 밤도깨비 야시장도 함께하는데 분위기도 너무 좋고 음식맛도 정말 맛있습니다 ^^",2,148,"['여름', '토', '일요일', '에는', '6시', '밤', '도깨비', '야시장', '도', '하다', '분위기', '도', '너무', '좋다', '음식', '맛', '도', '정말', '맛있다', '^^']",긍정
비가오고 나니 한층 단풍이 들어 이뻤어요.,0,149,"['비다', '나니', '한층', '단풍', '들다', '이쁘다']",긍정
한강 바로 앞 커다란 나무이래로 그물망을 설치해 누워서 하늘을 볼 수 있게 한 구조물 참 좋았구요,1,149,"['한강', '앞', '커다랗다', '나무', '그물', '망', '설치', '하다', '눕다', '하늘', '볼', '수', '하다', '조물', '차다', '좋다']",긍정
국화 화분도 놓아 이뻤어요.,2,149,"['국화', '화분', '도', '놓다', '이쁘다']",긍정
한강 환경보전 캠페인도 하던데 한강 가시면 쓰레기는 꼭 쓰레기통에 버리세요.^^,3,149,"['한강', '환경보전', '캠페인', '도', '하다', '한강', '가시', '면', '쓰레기', '는', '꼭', '쓰레기통', '버리다', '.^^']",부정
날씨 선선하면 쉬기 참 좋아요,0,150,"['날씨', '선선', '하다', '쉬다', '차다', '좋다']",긍정
"아이들도 뛰어 다니고 배달음식도 풍부하고 매점, 화장실 갖춰져있고 하루종일 차세워도 주차비는 최대 15,000원 정도 나옴.",1,150,"['도', '뛰다', '다니다', '배달', '음식', '도', '풍부하다', '매점', '화장실', '갖추다', '하루', '종일', '차다', '워', '도', '주', '차비', '는', '최대', '15,000원', '정도', '나오다']",긍정
많은 직장인들의 쉼터이자 늘 운동할 수 있는곳..,0,151,"['많다', '직장인', '쉬다', '터', '이자', '늘', '운동', '하다', '수', '곳', '..']",긍정
10분안에 갈 수 있는 숲이 있어 좋다,1,151,"['10분', '안에', '갈다', '수', '숲', '좋다']",긍정
"바람불지 않고 따뜻한 날에 야경보면서 걷기 좋은 곳이고요, 전 겨울에 가봤지만 봄~가을에는 배달존도 있는 걸 보니, 많이들 와서 피크닉할거 같아요~^^",0,152,"['바람', '불지', '않다', '따뜻하다', '날', '야경', '보다', '걷기', '좋다', '곳', '고요', '전', '겨울', '가보다', '봄', '가을', '에는', '배달', '존', '도', '걸', '보다', '많이', '들다', '오다', '피크닉', '하다', '~^^']",긍정
되게 이뻐요,0,153,"['되게', '이쁘다']",긍정
버스킹도 하고.,1,153,"['버스킹', '도', '하다']",긍정
전에 가본긴 했는데 저녁에 가서 잘 안 보여서 아쉬웠지만 걍 이건 제가 늦게 간거고 💖💖넘넘 좋았어요…,2,153,"['전', '가보다', '하다', '저녁', '가다', '자다', '안', '보', '여서', '아쉽다', '걍', '이건', '늦다', '가다', '💖💖', '넘다', '넘다', '좋다']",긍정
마스크벗고 댕댕이랑 남편이랑 봄소풍 길거리음식도 맛나고 코로나이후 첨인듯 일상으로~~♡♡♡,0,154,"['마스크', '벗다', '댕댕', '이랑', '남편', '이랑', '봄', '소풍', '길거리', '음식', '도', '맛', '나다', '코로나', '이후', '첨', '이다', '일상', '~~', '♡♡♡']",긍정
여의도 한강공원 그늘막텐트 설치 구역- 여의나루역 3번 출구와 가장 가까움.,0,155,"['여의도', '한강', '공원', '그늘', '막', '텐트', '설치', '구역', '여의나루역', '번', '출구', '가장', '가깝다', '움']",긍정
