,여의도한강공원리뷰
172,여의도불꽃축제를 보러 갔어요. 넓고 깨끗하고 좋았습니다. 밤에 가봤는데 낮에도 한번 가보고 싶어요. 행사기간이라 사람이 너무 많았습니다. 닭꼬치 파는데 한개에 오천원...^^ 개사기 아닙니까?! 날씨와 미세먼지만 좋다면 최고의 장소인것 같아요
173,"기쁨은 나누면 질투가 되고, 슬픔은 나누면 약점이 된다."
174,서울사는 사람들은 진짜 좋겠다.....여기 맨날 가보고.. 이러니 서울공화국이지  진짜 이쁘고 넘 좋다..퇴근하고 맥주 한 캔 하면서 쉬기 딱 좋음
175,한달에 한두번씩은 필수로 오는거 같아요. 항상 치킨과 맥주랑 잘 어울리는 곳이네요피크닉 구역비둘기들이 좀 사람을 경계를 안해서 가까이 있어서 살짝 무섭긴하네요. 여기저기서 깜짝 놀라는 소리가 자주 들리구요.
176,"더 추워지기 전에 한강유람선 타보세요 :) 다시 오픈했고, 사람들이 생각보다 없어요. 야경 정말 예쁜 서울 구경하기 정말 좋은 코스예요~"
177,분위기 좋아요! 날씨도 좋아서 아주 최고였어용 코로나만 빨리 끝나면 ㅠㅠ
178,아직 겨울이라 강바람이 추웠지만 시설도 깨끗하고 잔잔허게 경치 즐기면서 대화하기 좋음
179,바람막이텐트도 칠수있고 화장실도 꽤많음. 연인들 데이트와 친구들끼리 만남의장소로 최고~ 음식은 배달존으로 시켜서 먹을수있다!
180,covid-19가 있더라도 장소가 개방되고 넓어서 마스크하고 산책하기에 좋습니다.
181,세계 불꽃축제가 넘 재밋었어요.
182,마포대교 옆 공연장앞에서 금토 ~ 6시~11시 밤도깨비 야시장하고있었음!~ 볼거리 먹을거리 ^^ 멋진 한강뷰~7시공연도 하고 여의나루 역앞에서 텐트랑 돗자리 유료대여해줍니다. 자리잡고 놀기 좋아요  즐거운 시간 보냈습니다.
183,"서울 여의도한강공원! 여의나루역 2번 출구로 나오면 바로 한강이 눈앞에 펼쳐진다! 평일이어도 가족들, 커플들이 많은 한강공원은 사랑하는 가족, 사랑하는 연인들이 피크닉 오기 딱 좋은 베스트 장소!  여의도한강공원은 봄여름가을겨울 4계절 언제 오더라도 좋지만 특히 더운 여름엔 돗자리나 텐트 치며 시원한 강바람을 맞으며 더위를 날리는 것도 좋다! 한강을 따라 곳곳에 있는 다리들마다 이색있고 독특한 디자인과 멋있는 조명으로 아름다운 야경은 눈길 끌기에 충분하다!  뭐니뭐니해도 한강에서 치맥은 빠질 수 없는 메뉴! 배달받는 장소까지 곳곳마다 따로 마련되어 있어서 치킨뿐만 아니라 보쌈, 족발, 닭발 등 다양한 배달음식을 주문하며 입맛을 충족시킬 수 있다!  또한 자전거도 빌릴 수 있으며 곳곳마다 길거리공연도 하니 눈과 입뿐만 아니라 귀까지 즐겁게 할 수 있다! 아름다운 강에서 즐겁고 재미있는 추억 쌓기를 바라며 쓰레기 처리는 수준있는 시민의식으로 꼭 잘 지켜주기를 바라며 오늘도 화이팅!"
184,서울시 파이팅 한화그룹 파이팅 김승연 파이팅
185,걷기 딱 좋다 그러나 새들이 너무 많다
186,산책하기좋고 운동하기좋고 23.12.2토 시즌마감 마라톤 커플러닝함 길이 좀 좁지만 상품이 좋앗당
187,쾌적하고 편안한 휴게시설을 잘 갖추어져 있어 가족과 함께 힐링하기 좋은장소 입니다
188,한강공원 야경은 말이 필요없지요 사람들도 많고 먹을것도 많고 다 좋은데 남자는 없고ㅠ
189,날씨도 완벽한날! 한강 너무 이뻐서 놀랐다...티비에서 본거랑 다른느낌! 담에 부모님이랑 오고싶다~ 정말 좋았다.
190,"분위기 좋고 선선한 바람이 부는, 서울시민의 최고의 휴식처. 야경은 이곳이 최고입니다! 산책하기에도 좋아요~"
191,시간에 구애없이 쉬고 산책도하고 힐링하고
192,본인이 먹은 쓰레기는 꼭 치우고 갑시다.
193,사람 진짜 많고 라면 줄 진짜 길어요. 근데 분위기도 좋고 야경도 참 아름답더라고요.
194,고요히 흐르는 한강의 아름다운 자태와 주변의갖가지 편의 시설과 남여노소 모두다 안전하게 힐링할수 있는 낭만과 분위기가 흐르는 삭막한 도심의 빌딩 이라는 것을 망각하게 해주는 깨끗하고 세련된 공원이 무엇인가를 느끼게 해주는 곳으로 강 추 ….!
195,여의도하늘에 화려한불꽃으로 물들어 너무 아름답고 판타스틱해 가슴에 좋은 추억 만들고 돌아 왔습니다 그런데 인파에비해 화장실이 부족해 불편했습니다화장실뉴스에 100만명 이상 사람이 모인다고 했는데 화장실이 많이 부족해서 부편했습니다
196,많은 행사 이벤트 와 멋진 자연풍경
197,"가족들이랑 주말, 휴일에 놀러가기 좋은 곳"
198,한강에서 먹는 '한강라면' 짱 맛있음 그런데 가끔씩 술먹고 정신나가서 행패부리는 인간 가끔씩 있으니 조심하세욧!
199,"주말 밤도깨비 야시장 너무 좋음  날씨도 선선, 분위기도 넘 좋고.. 다만 사람이 너무 많긴 하지만..  그것조차 분위기에 포함"
200,사람도 그렇게 많지 않고 조용하고 선선해서 너무 좋았음 분위기도 조형물 덕분에 너무 좋은듯 사진도 많이 찍을수 있게 되있고 자전거도 탈 수 있어서 너무 잘되어 있는것 같음 여름때 오면 진짜 좋을듯
201,역 근처 잡상인 빼면 깨끗하고 경치 좋고 좋았어요
202,풍경도 좋고 자전거는 1시간에 3000원에 빌려서 탈 수 있어서 좋은데! 밤엔 넘 춥다.....ㄷㄷ
203,모임으로 왔는데 날씨 좋아서 사람 엄청 많음 봄과 가을에 넘 좋아요~^^
204,사람이 정말 많아요.마스크를 미착용한 분들은 드문드문 보입니다.항상 건강과 행복이 넘치는 젊음의 한강공원으로 잘 지켜주세요!
205,산책하기 좋음.
206,앉아서 쉬면 시원한바람이 불어와 코를 간질간질 하게 하며 기분이 좋아짐. 앉아 쉬는것도 좋지만 기회가 되면 크루즈 한번 타는것도 추천드림. 생각외로 기분좋고 좋음
207,돗자리와 음식만 있으면 연인들이 데이트 하기에도 가족과 함께 피크닉을 즐기기에도 친구들과 함께 수다떨기에도 안성만춤인 곳
208,불꽃놀이 인상깊었습니다
209,사람 많고 먹을 것도 많고 경치도 좋음. 하지만 이 곳에서 파는 먹거리들은 가성비가 안좋음
210,불꽃축제 보러갔다왔어요. 사람 디게정말진짜매우많았는데 공원 깔끔하고 불꽃축제 다 끝나고 걸어서 원효대교 걷는데 기분굳
211,삽겹살이 넘무맛있었음 같이 간사람이..너무별로였음
212,솔로들을위한 이벤트가 진행중이였습니다화장실줄이 많이 길어서 20분은 기다려야 했습니다.
213,산책하기 딱 좋은날씨~ 더 오래 있고싶었던곳 이번주에 또 가볼까나!
214,"길거리 핫도그 사먹었어요. 그런데 카드가 안되는....계좌이체.... 이곳이 정령 대한민국 여의도란 말인가!!! 무점포, 무허가, 리어커, 현찰,계좌이체.... 강도 좋고 분위기도 좋은데 무법천지... 누구를 위한 공원인가!!"
215,"한강변 여의도 고수부지는 최고의 나들이 장소. 가까운 여의나루 전철역(5호선)을 통해 접근하기 쉽고 자가용 주차장도 잘 갖춰져 있다.  가족, 연인, 친구와 삼삼오오 모여서 맘껏 떠들고 놀 수있으며, 텐트를 치고 캠핑을 즐길수도 있으며, 도시인들이  쌓인 스트레스를 풀기에는 최적의 장소이다. 행락객들의 얼굴 표정에서 여유와 행복이 절로 느껴진다.  좋은 배달 문화로 인해 음식을 즐길 수 있어 더욱 좋고, 또한 선착장에 음식점이 있어며, 매점은 간단한 음식을 다양하게 준비해서 팔고 있다.  어떤이들은 낚시로 취미를 즐기며 세월을 낚고 있다. 또한 자전거를 이용하면 한강변 자전거 길을 따라 동서로 하이킹을 즐길 수 있으며, 한강에서는 유람선을 비롯해 다양한 뱃놀이를 즐길 수 있다.  자주 찾아와서 즐길것을 권합니다...^^"
216,이제 완연한 가을을 정취를 느낄수 있네요..낙엽과 어우러진 한강은 언제나 아름답습니다
217,인도를 정비해줬으면
218,늘 사람이 많다. 봉은사에서 급행타면 금방 가서 좋다. 편의점은 거의 20년만에 기차놀이하는 수준이지만 강도 보면서 치킨도 먹고 날이 적당해서 모든게 좋았다.
219,한강라면과 각가지 간식 먹으며 좋은 사람들과 좋은 추억 만드는 곳 여의도 한간 둔치
220,날씨도 너무좋고 잠시나마여유를 즐겼어요
221,야경이 너무예쁘고 맛난것도 많고 데이트하기도 예쁜장소네요 밤에는 살짝추우니깐 담요필요할듯
222,걷고 산짹하고 운동하기 좋습니다.가족과 아이들과 다니기가 편하고 편리했어요.도심속 일상에서 벗어나 자유로이  걸어보세요. 굳!!!
223,점심먹고 잠시 쉬기 너무 좋은 날씨네요. 얼른 코로나가 없어져서 사람들 자유로이 다닐 수 있으면 좋겠어요. 지금은 강쪽으로 더이상은 들어가지 못하게 해두었네요.
224,가족들하고 가기좋은 곳이네요^^
225,"한강공원 중에서도 왜 항상 여기가 사람이 많을까 의문이었는데, 한번 가보니 알 것 같다! 다채로운 먹거리와 탁트인 한강조망에 넓은 잔디밭까지 피크닉을 즐기기에 제격! 앞으로 흐르는 물에서 아이들이 첨벙첨벙 놀기도 하고 여유로움이 흐른다:-) 다만 너무 많은 호객행위와 전단지 나눠주는게 좀 부담스러울뿐."
226,"밤에 운동겸 걷기 좋은 곳, 여자친구가 있었다면 매일 같이 걷고 싶다. ㅠㅠ"
227,비 온 직후라 사람이 거의 없었음.
228,가족과함께하면좋고 가볍게 산책할 수있는곳
229,"좋았어요~~아이들이 놀만한 공간과 안전을 책임져줄 알바하는 학생들도 많고 거대한 장애물 에어바운스. 물놀이는 없지만 시원하게 발을 담그며 놀수있는 공간. 다만 쓰레기통 냄새, 화장실이 낡아서 청결해 보이지가 않았다는것..하지만 아이들과 부담없이 놀 수 있는곳으로 최고예요"
230,아무 이유없이 생각없이 걷기 좋죠. 함께하는 사람이 누구냐가 중요하지 않을까요. 야경이 좋은 한강! 시간나고 여유 있으실때 한번씩 들러보세요.
231,날이 덥지만 직사광선이 덜해서 좋았어요. 버스킹을 보고싶었지만 여름낮에는 안하는지 못보고온게 아쉽네요
232,숨막힌 빌딩 숲 사이 유일한 쉼터가 되어주는 곳.
233,퇴근후 야유회 하기 좋네요 날씨 조오타!
234,요즘답답한일이 많아 탁 트인곳 찾다 아들하고 같이 감   좋다~~~  날이 조금씩 풀려서 그런지  사람들도 많고 한강라면 먹고싶었는데  자리가 없고 바람좀 불어  아들이 집에가자 보챔
235,금요일 늦은밤 가족과 함께 방문 했는데 사람도 없고 좋았어요.. 아이들 뛰어놀기 좋고 다만 먹거리가 편의점뿐이라..  분식 이런거 기대하고 갔는데 없드라구요ㅠㅠ 아쉬웠음..  다코야끼와 라면..  bhc치킨..전부였음.. ㅠㅠ.. 작은 조각공원...뛰어놀기 좋았으요~
236,공원조성할 때 심은 나무들이 커서 풍경도 좋고 강바람이 시원합니다
237,"🔴 참고하세요^^  🔵 돗자리 대여 2,000원 (보증금 2,000원) - 현금만 가능합니다 - 정오 12시까지 반납 조건  🔵 의자2+테이블1+조명3+블루투스 스피커1 - 12,000원 (카드결제 가능) - 4시간 사용 기준 - 오후 11시까지 반납  🔵 페리카나 치킨 - 순살치킨 (후라이드+양념 +간장+콜라500ml) - 23,000원 (카드결제 가능)  ※ 돈이 아깝지 않았습니다. ※ 일상 속 소소한 힐링타임 추천합니다."
238,졸업여행에서 여의도 한강공원에왔는데 친구들이랑 자전거를 탔었다. 자전거길 주변에 편의점도 있어서 중간중간 쉴 수 있다. 그리고 아주 큰 마당(아래 I •SEOUL• U)이 있는데 행사할때도 이곳에서 하는것도 나쁘진 않을것 같다. 특별한 경험 혹은 여가생활을 하기에는 딱 좋은 곳이다!
239,여의도한강공원이 서울에서 한번정도는 가봐야할곳같음 코로나만아니면 공원이나 벤치에서 맥주한잔하면서 노는것도 좋을것같음
240,선선한 밤공기를 맞으며 산책하기 좋은 곳. 아이스크림 하나 사 먹는 게 꿀맛
241,세계최고 강변공원
242,아이들과 산책하기 좋은곳입니다. 물놀이 하기도 좋아요
243,주말 공휴일에 놀러갔더니 텐트빌려서 치는사람이 어마어마하게 많았음. 돗자리정도만 빌려서 노는것노 좋을듯해요. 이제 텐트존에서만 텐트칠수있고 밤7시에는 무조건 걷어야함. 평일은 사람도없고 주차장도 한가해서 텐트치고 좋을것같은데 주말은 텐트치면 주변 경관 하나도안보이고 오히려 불편하기만 한거같아요. 한강같지도않고... 주차장이 자리가없어서 차 가져가면 한참 기다려야 주차가능. 근처 아파트단지에 대면 견인되어가거나 불법주차딱지 붙어요. 절대 대지 마세요. 저는 집근처 이마트에서 치킨이랑 초밥사갔는데 정말 맛있게 잘먹었어요. (그 근처는 너무 가격이 폭탄수준) 편의점도 사람 너무많고 하나하나 돈 받으니까 나무젓가락이나 음료수정도는 미리 사가는게 나아요.
244,최고입니다^_^ 너무 좋아요. 날씨도 좋고 여의도 밤도깨비 야시장도 최고
245,한강공원잼있어용~~야경좋고 강바람좋아요~~여기서 재밌는것도 많이하고 63빌딩보기좋아요~~
246,산책하기에도 좋고 뷰가좋음~간단히 간식먹기에도 좋은장소인듯합니다
247,밤에 보는 63빌딩이 이쁘고 야경 또한 괜찮다 사람이 많아서 좋으면서 어느 부분은 너무 많아 좋지 않다.
248,놀이터가 잘되어있어요 날씨가 풀려서인지 사람들이 많아요
249,올해 두번째인데 4월에 갔을 땐 너무 낮에 가서 햇빛이 강했는데 6시 정도에 가니까 해가 지는 모습을 보는 게 너무 좋다
250,날씨 좋을때가면 최고입니다 ㅠㅠ 해질때쯤 가서 밤까지 있는게 제일 좋더라구요. 아직은 저녁에 추우니 담요같은거 챙겨가시는게 좋아요. 돗자리도 있으면 챙겨가는거 추천드립니당
251,한강 다리 밑은 시원해요
252,갈때마다 좋아요
253,서울 사람이 아니라 혼자 갔다왔는데 와~ 운동하는 사람들 데이트하는 사람들 정말 많아요 다리에서 분수나오고 ㅋㅋ티비에서 본것과 같아서 좋았어요! 꼭 연인과 함께하길..
254,사람이 너무 많아서 이리저리 치인다...라면뽑는 대기줄도 길고 전단지가 막 굴러다닌다... 돈 많이벌어서 한강뷰 아파트 가서 좀 여유롭고 싶다는 생각이 들 정도다...
255,산책하기 좋은 서울의 명소 벤치도 꽤 많아서 쉬어가기 좋다
256,여의도 한강 공원은 좋은데 관리가 잘 되지 않는 쓰레기와 너무 많은 텐트들.. 그치만 역시 풍경과함께 여유롭고 좋습니다.
257,내가 상상해왔던  여의도 한강공원에서의 로맨틱하고 아름다운 벚꽃놀이는 더이상 없었다. 10년 전만해도 낭만이 있었는데.. 지금은 한여름의 해운대바닷가처럼 온갖 상술의 온상지였다. 역에서 한강공원까지 길을 건너 내려가는데 20분 넘게 걸렸다. 사람과 사람이 꽉차서 움직이지도 옮겨다닐 수도 없을정도. 꽃밭에서 사진 찍는 것도 줄서서 기다려야하고.. 서글프다.. 한국이 더이상 이쁜 나라가 아님에 통탄을 금치 못하겠다.
258,티몬에서 텐트 예약하고 한강을 바라보며 치맥과 함께 불꽃축제 감상 ♡
259,3.30 사진 봄에 오면 흰색 벚꽃이 예뻐요
260,"산책하기 좋은 곳입니다. 깨끗하다고는 할 수 없지만 그랗다고 매우 지저분하지는 않았습니다. 여의도의 빌딩숲을 볼 수 있는 장소이며 날씨가 맑은 날에는 남산타워도 보이는 곳입니다. 일요일 아침에 방문하여 조용해서 좋았습니다. 사이클링, 조깅을 하는 사람들이 간혹 보였습니다."
261,"텐트,돗자리2,무릎담요,트레이(베드용 크기) 렌트 종일권pm7시까지 15000원에 가성비 굿이네요"
262,이곳은 운동하기 좋은곳 입니다
263,요즘같은 날씨에 선선하니 딱 가기 좋습니다ㅎㅎ 적당히 힐링에 도움이 되는 곳이니 다들 한번쯤은 가보시는게 좋을것같아욥
264,사람많은것만 빼면 너무 좋은 곳. 외국인도 많고 가족단위도 많음. 공연도 있고 간단한 음식도 사먹을 수 있음. 편의점은 바가지니 미리 사서 가는걸 추천.
265,맛난게 많아요~ 주차는 복잡
266,"서울의 멋진 야경을 감상할 수 있는 곳. 여의도 한강 공원에서 밤도깨비야시장(주말 운영), 편의점 등 편리한 시설과 쾌적한 환경에서 도심 속 휴식을 즐길 수 있었습니다."
267,걷고 힐링하기 딱 좋은 곳입니다ㅎ
268,코로나 때문에 사람들이 많이 모여있으면 안 되는데 넘 사람들이 많다.
269,자전거 빌려서 타기도 좋고 경치가 너무 좋아요. 날씨 좋은 날 친구 연인 가족들과 나들이 나오면 너무 좋아요
270,날씨도 좋고 점심시간에 산책하기 좋네요 ㅎㅎ
271,무더운여름날 아이들에게 물놀이할수있는 좋은장소 ^^ 굿 ~
272,넓고 한적하고 돗자리깔고 누우면 소풍온거같아서 너무좋네요
273,공중으로 펴져나가는 불꽃-향연 분비는 인파들의 움직임 참말로 기분이 들썽 좋았담니다.^-^~⚘
274,"사람 엄청 많음 ,주말 금토 야시장 개장 시에는 주차대기 시간이 상당함 배달존도 있고 푸드트럭 이용도 재밌음"
275,날씨가추울때거나 더울때여도 각자만에 매력이있어요 노을질때도예쁘고  야경은더예쁜곳이죠 모두들  음식드시고 쓰레기만잘치웁시다
276,여의도 한강공원은 여의나루역에서 접근 가능한 정말 좋은공원입니다 ㅎ
277,여의도 한강공원 불꽃축제
278,좋아요!!한강도좋구 2주차장은사람많아요!!3주차장은 한적합니다!ㅎ
279,자주 가는곳. 갈때마다 느끼는거지만 초밥진열이 성의가 없다~고 느껴집니다. 빨리 안채워지고 다 흐트러지고 없어질때까지 기다렸다가 줍니다. 오직 불만은 그거하나! 그런데 저는 그게 제일 중요합니다.  그럼에도 불구하고 스프와 커피는 맛 짱!
280,마라톤하러 가면 꼭 여의도 공원인데 이렇게 많은 사람을 통솔하는건 정말 어려운 일인것같은데 꼭 해내덥니다 새벽부터 감사합니다
281,깨끗하고 푸른색 많아 맘것 걸을 수 있어 행복지수 뿜뿜!!!
282,한강을 바라보며 자전거를 타니 너무 상쾌했다. 하지만 쓰레기 냄새가 조금 났다. 재미있었다
283,3일간  잘다녀왔습니다 주인분들이  너무친절하여  너무행복한  휴가  되였습니다 금성 민박  짱
284,자유가 넘치는 곳! 그런데 쓰레기는 좀 가지고 갑시다!
285,"텐트를 대여하여 방문했습니다. 법이 바뀌어서 한강공원 내에 텐트를 설치할 수 있는 구역과 시간, 규칙이 정해져 있기 때문에 잘 알아보시고 가는 편이 좋아요. (오후7시까지 설치가능, 설치 시 두 면 이상 개방)"
286,한강중에 사람도 많고 먹거리도많고 텐트허용구간 따로있어서 좋음 자전거타기좋음
287,가을밤에 즐겁게 산책하기 좋은 최적의 조건. 음식판매가 너무 많은 것은 아쉬움.
288,주차장만 좀 넓고 날씨만 좋으면 ..좋아요
289,돗자리 깔고 치맥먹기좋음. 편의점 라면은 웨이팅시간이 웬만한 맛집 웨이팅시간 뺨치므로 치킨에 만족하는게 좋음. 가벼운 원터치텐트 칠수있으나 문은 개방 해두어야함 돛자리 대여료 평균 2천원에 보증금 2천원.
290,언제가도좋은한강변. 9월셋째일욜이 딱 나들이하기좋은 날이었다
291,정말 좋습니다. 편의점에 먹거리도 다양하고 계단에 앉아서 보는 한강뷰는 일품
292,코로나로인해 야외로 나가는일이 많고 날씨도 너무좋은요즈음.. 돗자리나 의자는 필수로 가져가시는게 좋습니다^^
293,"좋아요. 코로나 조금 수그러들었다고 야시장준비하고 있네요ㅋ 편의점,화장실도 여기저기 있고. 한강들 중에 젤 좋은듯합니다ㅎㅎ"
294,공원이 넒고 산책하기좋음 야경멋있어요
295,너무 좋아요~
296,야경이  멋진 ~~~ 낮에는 산책하기 좋은
297,"자주 오는 공원이지만, 서울에서 제일 편한 장소입니다. 걸으며, 생각하며, 자연을 음미하면서 즐기는 장소입니다."
298,자전거타고 종종 오는곳~ 요즘같은 가을에 딱 좋아요~~~     만원이면 돗자리 텐트 (저녁7시까지)대여가능해요. 배달해먹으면서 주말보내기 넘 좋아요♡
299,"십여년만에 갔는데, 예전의 가족적이고 한적하던 곳이 젊음의 활기로 가득해져 있었다. 곳곳에 돗자리를 펴고 앉아 간단한 간식과 알콜을 펼쳐놓고, 젊음을 즐기고 있다. 매우 생소한 광경이다. 과연 이러한 곳이 있었던가. 언젠가 티비에서 한강공원에 펼친 텐트의 사방을 다 막는 것을 금지하는 규칙을 추진한다는 뉴스를 들은 기억이 난다. 왜 그러는지 알 것 같은 주말 저녁의 풍경이었다."
300,서울에 봄이 오니 여의도한강공원에 사람들이 많이 나왔네요. 자전거 전용도로가 있어 좋구요.. 시원한 강바람 맞으며 강만 쳐다봐도 좋았습니다 😊…
301,아직까지는 조금 지저분하지만 옛날에 비해서는 청소인력이 정말 많아진거같아요 최대한 청결유지하는거같아서 좋아요 배달음식 잘시켜먹을수있도록 배달존 활용도 정말 좋았어요
302,한강공원에서 마포대교 아래가 가장 갬성있고 좋네요
303,"10시 넘어도 많이 춥지 않으면 타코야끼도 팔고 닭꼬치도 파네요. 마실도 좋고, 자전거 타기도 좋습니다."
304,한강공원에서 불꽃놀이 봤어요
305,맑은 날 자전거 타고 산책하기 좋은 곳 A great place for a bike ride on a sunny day
306,"한강몽땅 축제에 탱고 공연  잘 보았구요, 마포대교 남단 밑에 밥차에 스파게티와 리조트 너무 맛있었어요~~ RAWKICHIN 베리굿"
307,마침 외국인 가족이 방문했는데 한복쇼도 하고 날씨도 좋고 아주 좋았네요
308,가을이라 그런지 여름 보다 사람이 더 많고 좋네요 11시쯤 되니 사람들도 많이 빠지구요
309,이보다 좋을수 없죠 모두  소중한 한강을  위해 기본 원칙을 잘 지키며 자연과 함께 하길 바래요!!
310,신당동 떡볶이 머고 오는 길에 오랜만에 한강~~
311,당산역에서 한우고기 맛나게 먹고 여의도 한강공원 여의나루역 까지 걸으며 다른 도시에 와 있는 착각하고 힐링하고 왔네요 😀…
312,2인 자전거를 타면 참 좋습니다 연인과 오면 좋을 거 같네요 저는 친구랑 와서 좀 2인 자전거 타는데 알 수 없는 시선을 좀 받았는데 친구랑 타도 그냥 웃기고 재미있긴 해요
313,한강변 야경을 즐기기 좋은 밤유람선관광!최고!!
314,2017년 12월 야시장 개장. 볼거리보다는 먹거리가 더 눈에 띄는 곳. 다양한 푸드 트럭들이 입을 즐겁게 해줌.ㅎㅎㅎ
315,처음 가봤는데 사람들 진짜 많네요 커플 천국. 저같은 솔로는 마음가짐 단디하고 가야 ㅋㅋㅋ
316,BTS페스타 갔다왔는데 너무 더웠지만 재밌었어요
317,한강을 끼고 있는 공원 중에서는 제일 넓고 편한 곳인듯 하다. 다양한 사람들이 한데 어울려 있는 곳. 가끔씩 큰 행사도 하여 사람도 많이 몰린다.
318,깨긋하고 일단 관광명소로 정말 유명한 곳입니다. 여의나루역에서 바로 우측으로 가시면 바로 한강 공원이 보입니다.  거기서 돋자리는 10000원 정도 합니다. 대여료로 여러가지 주니 패키지 잘 사서 가세요.
319,볼거리가 너무 많아서 좋아요  먹을것도 많아요
320,"요약: 먹고, 쉬고, 놀기 좋은 뷰 좋은 한강공원"
321,코로나전에 가고 몇년만에 갔는데 많이 바껴서 시간보내기 좋아요.
322,서울살이를 포기 못하는 이유중 하나. 언제가도 한강을 힐링의 스팟이고 마음이 편해지는 곳인것 같아요. 이쁜건 덤♡ 커플지옥이긴 하지만 누구랑 가든 혼자 가든 정말 좋은 장소인것 같아요. 낮이고 밤이고 사랑스러운 장소♡
323,도심속에 한강이 있다는것 자체가 행운이죠 지하철역에서 바로 접근할수 있는 여의도한강공원 접근성과 편의시설이 잘 되어있어 이용이 편리합니다
324,서울에서 편안하게 가족끼리 휴식을 가질수있는곳 입니다~^^피크닉 구역편의점 및 기타 편의시설이 잘되어있습니다
325,사람들이 정말많고 피크닉장소인가?는 정말 돗자리 깔고 먹는 사람들 많음.
326,멋진 서을의 야경과 금요일 토요일 저녁엔 밤도깨비 시장이 열려요. 집에서 가까워서 자주 들리는 곳이예요. 누구에게나 추천할 만한 곳이예요.
327,"날씨 좋은 날 가족과 연인, 친구들 잔디밭에 텐트 쳐놓고 즐거운 시간 보냄 치맥은 필수 한강공원에서 사면 비싸니 미리 음식 준비해가삼"
328,날이 추워서 그런지 사람 많이 없고 소풍하기에 딱 좋은것같아요~
329,1. 서울 사람은 친절하다. 2. 저녁에 가면 텐트촌 없음. 여의도 근처에 텐트 대여소 있음. 3. 야경 직인다! 와! 63빌딩! (걸어서 갈 수 있음. 오래 걸림) 4. 밤중인데도 분수대에서 물 나옴. 물낭비 오진다! 5. 평일에도 버스킹 있음. 6. 편의점 있음. 7. 화장실 많음. 이용자가 많아서 위생 상태는 별로임. 8. 자전거 대여소 있음.
330,"경치가 그렇게 좋은 곳도 아니고, 더워 죽겠는데 치킨은 한참 기다리다가 목 빠져서 죽는 줄 알았습니다. 그나마 맛있으면 됐을 텐데 맛있기는 커녕 기름쩐내가 심해서 배고팠는데 제대로 먹지도 못했습니다. 절대 가지 마세요. 100% 후회합니다."
331,반려견 산책과 한가로운 시간
332,여의도 불꽃놀이 축제
333,외국부럽지않은 한강공원 너무 시원하고 버스킹 노래도 넘 좋아요 다만 맥주먹으면 화장실이 대란.. 긴 줄에 깜놀..이에요
334,만개한 갖가지 꽃을 실껏 보고왔어요~
335,I LOVE SEOUL이라는 글을 못찍어서 아쉽네요
336,제가 가장 좋아하기도하고 쉴곳이 많아서 좋은곳입니다.
337,"날씨 선선할 때 가면 좋은 곳, 야경이 이뻐요"
338,다좋은데 라면 하나가 정말 비싸네요 것도 셀픈데
339,평일 낮에도 사람이 많네요. 꽃구경도 좋지만 길거리 음식점(?)도 깔끔하게 정리 했음 좋겠어요. 쓰레기도 그렇구 좀 지저분해요.
340,더운날 사람들 많네요
341,밤에 한강바라보며 맥주 한잔하기 좋아요
342,너무시원하고 가족들과함께 여유로운 한때를보내기에최적의장소입니다.
343,야경하나는 기가막힙니다. 그러나 여름철에는 많이 더우니 봄가을에 오시는걸 추천합니다.
344,너무사람많았다
345,요즘 날씨가 좋아서리 산책하기에도 그냥 멍때리고 있기에도 좋습니당. 경치도 좋고...
346,겨울이어서 그런지 사람들이 많이 없었지만 다니긴 좋았다
347,평일 너무여유롭고 바람선선하게부니 힐링이었음
348,날씨 좋을때 놀러오면 좋아요 돗자리랑 텐트로 돈주고 빌릴수 있어요 대신 온 세상 사람들이 모여있습니다^^
349,화장실이 깨끗해졌고 자전거대여점이 새로운자전거로 좋아져서 좋다
350,해질녁의 한강유람선을 타니 여기가 유럽인가? 싶다 ㅎㅎㅎ 조용하게 미끄러져 가는 유람선 한강의 풍경이 평안스럽고 기분 좋다....
351,벚꽃이 여의도 상부 국회의사당 인근이나 여의나루 역 인근 그리고 여의도 하부쪽에 몰려있음 여의도 하부가 만개해있고 사람도 적다
352,주말은 사람이 너무많아서 정신없어요 ㅠ 그래도 전망은 좋아서 좋았습니다
353,"여름이 시작되는 계절이라 저녁시간대에 방문했더니, 사람이 무~~지 많아요. 편의점 한강라면에 푸드트럭들이 많이 들어와서 축제에 온 기분입니다.화장실화장실 청결함."
354,축제때는 가면 안된다 꽃보다 사람이 더 많다
355,개인적으로 밤에 캔맥주하나사서 물에 발담그고 야경보는것을 매우좋아합니다. 샌들이나 슬리퍼를 신으셨다면 꼭해보세요ㅎ 더운여름밤이 시원하게 바뀝니다
356,서울에서 주말을 맘 편히 보낼 수 있는곳입니다. 산책도 하고 즉석 라면도 먹고... 신선한 공기는 덤입니다.
357,시원하고 워낙 넓어서 사람이 많아도 돗자리 깔고 놀 수 있었어요 자전거도 대여해서 탈 수 있어요
358,벚꽃축제기간인데 아직 국회의사당 뒤쪽은 많이 안피고 비까지 오는 주말에 다녀왔네요
359,한가히 휴식하기에 좋아요
360,날씨 아주 좋아요
361,날씨가 좋아서 한강에서 자전거타고 사람들 구경하는데 정말 좋았어요
